time,wind_mean_scalar,wind_mean_vector_magnitude_speed,wind_mean_vector_direction,wind_std_direction,wind_max,radiation_in_avg,precipitation_total,tair_ClimaVUE50_avg,vapor_pressure_ClimaVUE50_avg,barom_pressure_absolute_ClimaVUE50,humidity_rel_ClimaVUE50,tair_CS215_avg,humidity_rel_CS215,tair_HygroVUE10,humidity_rel_HygroVUE10,SWR_in,SWR_out,LWR_in,LWR_out,snow_height_laser
2021-05-20T00:00:00.000,0.1385067,0.124122,320.1306,23.34773,1.13,0,0,-1.91,5,799.2299,94.43,-1.96,94.96609,-2.0177,89.8931,-1.35,0,296.32,307.48,494.6
2021-05-20T00:10:00.000,0.8171566,0.7700347,338.9851,19.45107,1.46,0,0,-1.85,5,799.33,93.68,-1.8839,93.8452,-1.9457,88.96819,-0.82,0,303.72,307.85,494.7
2021-05-20T00:20:00.000,1.632517,1.574924,340.4142,15.21381,3.68,0,0,-2.12,5,799.47,95.16,-2.0736,95.7648,-2.0935,90.5157,-0.4,0,303,306.82,496.7
2021-05-20T00:30:00.000,1.44109,1.399403,329.0975,13.77658,3.15,0,0,-2.37,5,799.54,96.99999,-2.3905,98.0332,-2.3971,92.6288,-0.65,-0.01,298.03,305.55,498.8
2021-05-20T00:40:00.000,1.266487,1.249734,305.0229,9.315825,2.26,0,0,-2.43,4.93,799.5499,96.85,-2.4802,98.7707,-2.5345,93.62889,-0.51,-0.01,296.7,305.49,499.7
2021-05-20T00:50:00.000,1.042067,1.037279,296.0532,5.490583,1.51,0,0,-2.36,4.9,799.6,96.00999,-2.5093,98.7571,-2.5681,93.4377,-0.53,-0.01,296.5,305.37,499.9
2021-05-20T01:00:00.000,0.3598233,0.3557059,309.8995,7.749895,1.12,0,0,-2.3,4.9,799.6,95.14,-2.4235,97.3335,-2.4803,91.8238,-0.63,0,296.13,305.15,499.5
2021-05-20T01:10:00.000,0.51499,0.5105702,83.49183,7.503947,1.3,0,0,-2.3,4.9,799.61,95.28,-2.439,97.0377,-2.4706,91.5372,-0.53,0,295.94,304.98,499.4
2021-05-20T01:20:00.000,0.33761,0.2230087,138.5636,42.21017,1.49,0,0,-2.32,4.9,799.6,95.03,-2.4247,96.8964,-2.4572,91.11659,-0.72,0.01,295.41,304.78,499.3
2021-05-20T01:30:00.000,0.3314033,0.327257,189.2368,8.103703,1.47,0,0,-2.32,4.9,799.5699,94.48,-2.3996,96.3377,-2.4464,90.769,-0.53,0,298.01,305.19,500
2021-05-20T01:40:00.000,0.3114766,0.3000624,111.203,14.71015,1.27,0,0,-2.35,4.9,799.52,94.73,-2.3983,96.65359,-2.4285,90.9196,-7.55,0,300.75,306.68,501.7
2021-05-20T01:50:00.000,0,0,0,0,0.54,0,0,-2.35,4.9,799.58,94.89,-2.3975,96.7838,-2.4411,91.1806,-1.87,0,295.47,304.46,502.7
2021-05-20T02:00:00.000,0.03544333,0.03538264,286.6133,1.835855,0.48,0,0,-2.39,4.9,799.54,95.06,-2.442,96.9361,-2.463,91.2617,-0.93,0,298.9,305.12,502.6
2021-05-20T02:10:00.000,0.3260133,0.2759238,339.2817,31.7498,1.02,0,0,-2.35,4.9,799.5099,94.78999,-2.4209,96.5704,-2.4538,91.0491,-0.76,0,296.69,304.72,505.4
2021-05-20T02:20:00.000,0.08019666,0.07143751,69.60072,20.73546,0.82,0,0,-2.41,4.9,799.49,95.31999,-2.4165,96.7067,-2.4517,91.4171,-0.88,0,292.87,303.42,505.3
2021-05-20T02:30:00.000,0.1865267,0.1791208,64.7232,12.50197,1.15,0,0,-2.44,4.9,799.4,95.5,-2.4834,97.0096,-2.4946,91.4714,-0.65,0,297.67,304.02,505.3
2021-05-20T02:40:00.000,0.1403033,0.1401615,272.437,1.821001,0.64,0,0,-2.47,4.9,799.41,95.48,-2.5134,97.041,-2.5221,91.5155,-0.47,-0.01,298.57,304.79,505
